campaign_name,spend_date,impressions,reach,link_clicks,spend
JaumePlen_LE_26 · Enter draw,2026-07-28,610020,493997,7100,7102.44
AhmedM_Salam_26 · Enter draw,2026-07-28,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-07-28,203280,177950,3604,1114.57
YoonHyup_LE_26 · Enter draw,2026-07-28,0,0,0,0
ZengFanzhi_TL_26 · Enter draw,2026-07-28,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-07-27,0,0,0,0
Backside_LE_26 · Enter draw,2026-07-27,0,0,0,0
FelipePantone_LE_26 · Enter draw,2026-07-27,0,0,0,0
GregoryCrewd_TL_26 · Purchases,2026-07-27,0,0,0,0
GregoryCrewd_TL_26 · Sign-ups,2026-07-27,0,0,0,0
HankWillisT_LE_26 · Enter draw,2026-07-27,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-07-27,224012,192657,2524,2575.99
LY_LE_26 · Enter draw,2026-07-27,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-07-27,144226,128755,2484,705.77
YoonHyup_LE_26 · Enter draw,2026-07-27,0,0,0,0
ZengFanzhi_TL_26 · Enter draw,2026-07-27,0,0,0,0
FelipePantone_LE_26 · Enter draw,2026-07-26,0,0,0,0
Backside_LE_26 · Enter draw,2026-07-26,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-07-26,0,0,0,0
GregoryCrewd_TL_26 · Purchases,2026-07-26,0,0,0,0
GregoryCrewd_TL_26 · Sign-ups,2026-07-26,0,0,0,0
HankWillisT_LE_26 · Enter draw,2026-07-26,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-07-26,65558,56264,819,604.78
LY_LE_26 · Enter draw,2026-07-26,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-07-26,29611,26040,846,182.07
YoonHyup_LE_26 · Enter draw,2026-07-26,0,0,0,0
ZengFanzhi_TL_26 · Enter draw,2026-07-26,0,0,0,0
HankWillisT_LE_26 · Enter draw,2026-07-25,0,0,0,0
Backside_LE_26 · Enter draw,2026-07-25,0,0,0,0
FelipePantone_LE_26 · Enter draw,2026-07-25,0,0,0,0
GiuseppePen_LE_26 · Enter draw,2026-07-25,0,0,0,0
GregoryCrewd_TL_26 · Purchases,2026-07-25,0,0,0,0
GregoryCrewd_TL_26 · Sign-ups,2026-07-25,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-07-25,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-07-25,61386,50970,702,558.45
LY_LE_26 · Enter draw,2026-07-25,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-07-25,10080,9389,293,62.25
YoonHyup_LE_26 · Enter draw,2026-07-25,0,0,0,0
ZengFanzhi_TL_26 · Enter draw,2026-07-25,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-07-24,12492,10838,191,198.8
Backside_LE_26 · Enter draw,2026-07-24,0,0,0,0
FelipePantone_LE_26 · Enter draw,2026-07-24,0,0,0,0
GiuseppePen_LE_26 · Enter draw,2026-07-24,0,0,0,0
GregoryCrewd_TL_26 · Purchases,2026-07-24,0,0,0,0
GregoryCrewd_TL_26 · Sign-ups,2026-07-24,0,0,0,0
HankWillisT_LE_26 · Enter draw,2026-07-24,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-07-24,46856,39657,691,477.94
LY_LE_26 · Enter draw,2026-07-24,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-07-24,0,0,0,0
ZengFanzhi_TL_26 · Enter draw,2026-07-24,0,0,0,0
UrsFischer_LE_26 · Enter draw,2026-07-23,0,0,0,0
Backside_LE_26 · Enter draw,2026-07-23,0,0,0,0
FelipePantone_LE_26 · Enter draw,2026-07-23,0,0,0,0
GiuseppePen_LE_26 · Enter draw,2026-07-23,0,0,0,0
GregoryCrewd_TL_26 · Purchases,2026-07-23,0,0,0,0
GregoryCrewd_TL_26 · Sign-ups,2026-07-23,0,0,0,0
HankWillisT_LE_26 · Enter draw,2026-07-23,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-07-23,34063,27037,720,352.19
LY_LE_26 · Enter draw,2026-07-23,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-07-23,31329,25107,488,450.38
YoonHyup_LE_26 · Enter draw,2026-07-23,97130,85905,831,1082.99
ZengFanzhi_TL_26 · Enter draw,2026-07-23,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-07-22,19888,17297,379,225.22
Backside_LE_26 · Enter draw,2026-07-22,0,0,0,0
FelipePantone_LE_26 · Enter draw,2026-07-22,0,0,0,0
GiuseppePen_LE_26 · Enter draw,2026-07-22,0,0,0,0
GregoryCrewd_TL_26 · Purchases,2026-07-22,0,0,0,0
GregoryCrewd_TL_26 · Sign-ups,2026-07-22,0,0,0,0
HankWillisT_LE_26 · Enter draw,2026-07-22,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-07-22,22643,21123,276,183.69
LY_LE_26 · Enter draw,2026-07-22,0,0,0,0
